,Call_Number,Title
280,BF65-172:Psychology,the boy will come to nothing freuds ego ideal and freud as ego ideal freud sigmund 18561939 psychology freud sigmund 18561939 influence egoideal
281,BF173-175:Psychoanalysis,the two millionyearold self archetype psychology self civilization modern 20th century psychological aspects dreams therapeutic use jung c g carl gustav 18751961
282,BF712-724:Developmental psychology,transformations growth and change in adult life adulthood marriage
283,BF309-499:Consciousness. Congition,heredity family and inequality a critique of social sciences nature and nurture econometric models heredity families equality social stratification
284,BF636-637:Applied psychology,interdisciplinary research on close relationships the case for integration interpersonal relations social psychology research
285,BF309-499:Consciousness. Congition,measurements with persons theory methods and implementation areas perception mathematical models senses and sensation mathematical models human information processing mathematical models
286,BF309-499:Consciousness. Congition,the minds eye imagery in everyday life visualization imagery psychology fantasy therapeutic use
287,BF511-593:Affection. Feeling. Emotion,thats disgusting unraveling the mysteries of repulsion aversion
288,BF660-685:Comparative psychology. Animal and human psychology,komplexes handeln elemente zur handlungstheorie der sprache motivation psychology act philosophy linguistics research
289,BF309-499:Consciousness. Congition,the decisive moment how the brain makes up its mind decision making
290,BF65-172:Psychology,the concept of mind mind and body
291,BF1562-1584:Witchcraft,publishing for the masses early modern english witchcraft pamphlets witchcraft england history english imprints pamphlets england
292,BF511-593:Affection. Feeling. Emotion,pulling your own strings assertiveness psychology autonomy psychology
293,BF840-885:Physiognomy. Phrenology,elements of phrenology phrenology
294,BF65-172:Psychology,psychology from research to practice psychology research psychology applied
295,BF309-499:Consciousness. Congition,culture communication and cognition vygotskian perspectives cognition and culture vygotskiĭ l s lev semenovich 18961934 semiotics psycholinguistics cognition in children interpersonal communication
296,BF65-172:Psychology,the sage handbook of qualitative research in psychology psychology research qualitative research
297,BF309-499:Consciousness. Congition,judgments over time the interplay of thoughts feelings and behaviors time psychological aspects thought and thinking emotions human behavior
298,BF199-202:Psychology,the buying and goodbying of behaviorisms way confessions and perspectives of an exbehaviorist behaviorism psychology
299,BF636-637:Applied psychology,maximum influence the 12 universal laws of power persuasion persuasion psychology influence psychology success psychological aspects
300,BF1562-1584:Witchcraft,biblical and pagan societies witchcraft middle east history magic assyrobabylonian jewish magic
301,BF636-637:Applied psychology,grit the power of passion and perseverance success perseverance ethics expectation psychology diligence
302,BF697:Differential psychology. Individuality. Self,identity and story creating self in narrative self identity psychology narration rhetoric psychology biographical methods
303,BF309-499:Consciousness. Congition,individuals groups and organizations beneath the surface an introduction experiential learning organizational behavior
304,BF173-175:Psychoanalysis,from klein to kristeva psychoanalytic feminism and the search for the good enough mother psychoanalysis and feminism object relations psychoanalysis history mother and child history femininity history klein melanie winnicott d w donald woods 18961971 chodorow nancy kristeva julia 1941
305,BF173-175:Psychoanalysis,psychoanalytic politics freuds french revolution lacan jacques 19011981 psychoanalysis france psychoanalysis social aspects france psychoanalysis france political aspects france history 20th century
306,BF636-637:Applied psychology,negotiation theory and research negotiation congresses
308,BF1562-1584:Witchcraft,modern witchcraft and psychoanalysis witchcraft psychoanalysis witchcraft history rites and ceremonies psychological aspects
309,BF1-37:Psychology,a dictionary of psychology psychology dictionaries
310,BF712-724:Developmental psychology,motherinfant bonding a scientific fiction mother and infant attachment behavior maternal deprivation in infants feminist psychology
311,BF38-64:Philosophy,wittgensteins philosophy of psychology wittgenstein ludwig 18891951 psychology philosophy
312,BF65-172:Psychology,mindbody identity theories mind and body identity philosophical concept
313,BF65-172:Psychology,understanding freud the man and his ideas freud sigmund 18561939 congresses psychoanalysis history congresses
314,BF692:Psychology of Sex. Sexual Behavior,the remasculinization of america gender and the vietnam war masculinity united states history 20th century patriarchy united states history 20th century sex role united states history 20th century vietnam war 19611975 social aspects vietnam war 19611975 motion pictures and the war vietnam war 19611975 literature and the conflict
